id,name,internal,catchment_id,created,last_modified,version
138,Llifon,FALSE,72,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
139,Lliw Swansea,FALSE,73,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
140,Llugwy,FALSE,26,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
141,Llyfni,FALSE,74,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
142,Llynfi,FALSE,89,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
143,Looe,FALSE,75,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
144,Loughor,FALSE,76,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
145,Lud,FALSE,77,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
146,Lugg,FALSE,146,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
147,Lune,FALSE,78,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
148,Lyd,FALSE,116,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
149,Lymington,FALSE,79,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
150,Lyn,FALSE,80,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
151,Lyne,FALSE,48,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
152,Lynher,FALSE,81,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
153,Marron,FALSE,32,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
154,Mawddach,FALSE,82,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
155,Meavy,FALSE,98,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
156,Medway,FALSE,124,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
157,Meon,FALSE,83,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
158,Mersey,FALSE,84,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
159,Mint,FALSE,68,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
160,Mole,FALSE,118,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
161,Morlais,FALSE,76,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
162,Nadder,FALSE,11,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
163,Nar,FALSE,85,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
164,Neath,FALSE,86,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
165,Nene,FALSE,87,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
166,Nevern,FALSE,88,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
167,Ogmore,FALSE,89,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
168,Ogwen,FALSE,90,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
169,Okement,FALSE,127,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
170,Orwell,FALSE,91,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
171,Otter,FALSE,92,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
172,Ottery,FALSE,116,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
173,Ouse (Sussex),FALSE,93,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
174,Ouse (Yorkshire),FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
175,Parkmill Stream Gower,FALSE,95,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
176,Parrett,FALSE,96,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
177,Piddle,FALSE,97,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
